pedido_id,data_pedido,cliente_id,canal_venda,valor_total
4001,2025-11-27,124,social,423.56
4002,2025-11-27,218,social,429.31
4003,2025-11-27,334,social,496.37
4004,2025-11-27,489,organico,270.58
4005,2025-11-27,320,organico,417.76
4006,2025-11-27,470,organico,580.64
4007,2025-11-27,221,pago,534.66
4008,2025-11-27,307,pago,161.88
4009,2025-11-27,457,pago,216.55
4010,2025-11-27,488,email,525.69
4011,2025-11-27,456,organico,100.07
4012,2025-11-27,186,email,36.0
4013,2025-11-27,357,pago,116.68
4014,2025-11-27,488,organico,360.14
4015,2025-11-27,210,email,445.18
4016,2025-11-27,322,organico,137.93
4017,2025-11-27,244,pago,103.84
4018,2025-11-27,186,email,39.82
4019,2025-11-27,439,email,51.94
4020,2025-11-27,427,pago,50.09
4021,2025-11-27,457,social,573.24
4022,2025-11-27,353,social,78.71
4023,2025-11-27,152,pago,245.43
4024,2025-11-27,346,email,59.62
4025,2025-11-27,272,organico,564.11
4026,2025-11-27,216,social,292.63
4027,2025-11-27,343,pago,589.53
4028,2025-11-27,468,pago,79.45
4029,2025-11-27,427,pago,572.89
4030,2025-11-27,308,social,469.03
4031,2025-11-27,298,email,250.72
4032,2025-11-27,442,social,94.1
4033,2025-11-27,250,organico,527.89
4034,2025-11-27,363,social,268.82
4035,2025-11-27,385,organico,400.4
4036,2025-11-27,298,organico,92.62
4037,2025-11-27,149,pago,393.55
4038,2025-11-27,415,pago,443.84
4039,2025-11-27,272,pago,440.78
4040,2025-11-27,295,email,462.52
4041,2025-11-27,170,organico,45.72
4042,2025-11-27,463,pago,130.93
4043,2025-11-27,421,pago,248.28
4044,2025-11-27,124,email,311.75
4045,2025-11-27,305,pago,511.1
4046,2025-11-27,206,organico,85.8
4047,2025-11-27,383,organico,206.27
4048,2025-11-27,499,pago,430.62
4049,2025-11-27,241,email,384.88
4050,2025-11-27,210,email,472.62
4051,2025-11-27,499,pago,294.6
4052,2025-11-27,389,social,513.83
4053,2025-11-27,339,email,277.91
4054,2025-11-27,192,organico,51.08
4055,2025-11-27,393,social,423.41
4056,2025-11-27,117,pago,547.37
4057,2025-11-27,263,organico,345.28
4058,2025-11-27,123,email,528.96
4059,2025-11-27,376,organico,77.65
4060,2025-11-27,463,social,151.27
4061,2025-11-27,491,social,235.12
4062,2025-11-27,364,organico,411.03
4063,2025-11-27,234,social,54.69
4064,2025-11-27,448,organico,162.2
4065,2025-11-27,173,social,540.64
4066,2025-11-27,275,email,560.85
4067,2025-11-27,174,email,225.09
4068,2025-11-27,258,social,31.33
4069,2025-11-27,456,email,163.01
4070,2025-11-27,415,organico,329.63
4071,2025-11-27,354,organico,493.72
4072,2025-11-27,470,organico,581.17
4073,2025-11-27,213,organico,52.31
4074,2025-11-27,109,social,196.67
4075,2025-11-27,145,organico,502.14
4076,2025-11-27,113,organico,415.47
4077,2025-11-27,358,social,424.95
4078,2025-11-27,364,pago,409.81
4079,2025-11-27,330,pago,303.14
4080,2025-11-27,464,pago,467.3
4081,2025-11-27,108,social,525.81
4082,2025-11-27,146,social,557.63
4083,2025-11-27,346,organico,239.94
4084,2025-11-27,320,pago,112.62
4085,2025-11-27,309,organico,286.19
4086,2025-11-27,369,pago,171.4
4087,2025-11-27,419,social,571.72
4088,2025-11-27,274,pago,236.64
4089,2025-11-27,425,social,232.28
4090,2025-11-27,340,social,499.44
4091,2025-11-27,173,social,264.13
4092,2025-11-27,350,email,414.86
4093,2025-11-27,420,social,299.75
4094,2025-11-27,164,organico,486.34
4095,2025-11-27,298,email,187.46
4096,2025-11-27,280,organico,175.13
4097,2025-11-27,476,email,538.8
4098,2025-11-27,111,pago,563.56
4099,2025-11-27,392,pago,395.69
4100,2025-11-27,151,social,414.24
4101,2025-11-27,341,social,546.4
4102,2025-11-27,410,email,528.8
4103,2025-11-27,468,email,423.17
4104,2025-11-27,151,email,379.54
4105,2025-11-27,286,email,376.96
4106,2025-11-27,491,pago,306.37
4107,2025-11-27,360,social,449.58
4108,2025-11-27,452,email,65.51
4109,2025-11-27,152,email,406.28
4110,2025-11-27,411,organico,112.15
4111,2025-11-27,256,pago,61.07
4112,2025-11-27,218,pago,256.58
4113,2025-11-27,362,email,423.3
4114,2025-11-27,116,email,478.4
4115,2025-11-27,357,email,517.77
4116,2025-11-27,431,email,593.05
4117,2025-11-27,128,social,183.31
4118,2025-11-27,291,organico,244.08
4119,2025-11-27,119,social,538.09
4120,2025-11-27,364,social,410.39
4121,2025-11-27,364,email,348.18
4122,2025-11-27,284,organico,271.03
4123,2025-11-27,192,social,247.67
4124,2025-11-27,258,social,115.88
4125,2025-11-27,387,email,130.67
4126,2025-11-27,275,organico,150.29
4127,2025-11-27,481,email,107.54
4128,2025-11-27,120,organico,263.29
4129,2025-11-27,452,organico,544.45
4130,2025-11-27,216,social,387.21
4131,2025-11-27,280,organico,541.93
4132,2025-11-27,220,social,178.16
4133,2025-11-27,110,pago,184.35
4134,2025-11-27,231,social,187.22
4135,2025-11-27,326,pago,149.74
4136,2025-11-27,344,email,321.23
4137,2025-11-27,486,pago,371.48
4138,2025-11-27,298,organico,299.3
4139,2025-11-27,152,social,157.48
4140,2025-11-27,337,social,564.74
4141,2025-11-27,437,social,595.92
4142,2025-11-27,299,social,392.8
4143,2025-11-27,363,pago,306.85
4144,2025-11-27,242,email,156.28
4145,2025-11-27,499,email,529.33
4146,2025-11-27,220,social,264.01
4147,2025-11-27,253,organico,177.23
4148,2025-11-27,225,email,178.39
4149,2025-11-27,355,email,572.73
4150,2025-11-27,438,social,558.69
4151,2025-11-27,317,email,351.38
4152,2025-11-27,170,pago,257.51
4153,2025-11-27,391,social,208.74
